Street Number	Street Name	Street Side	Skytrain Station Name	BIA	Number of Racks	Year Installed
8679	Granville St	West		MRP	1	2012
8697	Granville St	West			1	Prior 2010
858	Hamilton St	East			1	2015
883	Hamilton St	West			1	2015
888	Hamilton St	North		YT	1	2016
2530	Heather St	East			1	Prior 2010
3195	Heather St	West			1	2012
409	Heatley Av	West		STRC	1	2012
508	Helmcken St	South			1	Prior 2010
609	Helmcken St	West			2	Prior 2010
609	Helmcken St	North		DVBIA	3	2016
649	Helmcken St	West			1	Prior 2010
420	Homer St	East			2	Prior 2010
514	Homer St	East			1	2011
777	Homer St	West			3	2013
856	Homer St	East			1	Prior 2010
1238	Homer St	East			1	2011
586	Hornby St	East			1	Prior 2010
815	Hornby St	West			2	Prior 2010
1177	Hornby St	West			1	Prior 2010
1401	Hornby St	West			1	2011
1401	Hornby St	West			1	2010
625	Howe St	West			1	Prior 2010
1095	Howe St	West			1	Prior 2010
1512	Howe St	East			1	Prior 2010
20	Jackson Av	East			3	2015
1100	Jervis St	East			1	2012
5160	Joyce St	East			1	2014
232	Keefer St	South			1	2012
2300	Keith St	West			1	2012
359	Kingsway	North			1	Prior 2010
500	Kingsway	South			1	2013
612	Kingsway	South			1	Prior 2010
776	Kingsway	South			1	2015
898	Kingsway	South			3	2015
934	Kingsway	South			1	2015
1055	Kingsway	North			2	2015
1170	Kingsway	South			1	2015
1284	Kingsway	South			1	2015
1299	Kingsway	North			1	2015
1303	Kingsway	North			1	Prior 2010
1327	Kingsway	North			1	2014
1346	Kingsway	South			1	2014
1409	Kingsway	North			1	2013
1459	Kingsway	North			1	Prior 2010
1475	Kingsway	North			1	2011
1850	Kingsway	South			1	2013
2127	Kingsway	North			1	2012
2298	Kingsway	South		n/a	3	2016
2310	Kingsway	South			3	2015
2536	Kingsway	South			1	2013
2934	Kingsway	South			1	2013
3012	Kingsway	South		CWD	1	2013
3490	Kingsway	South		CWD	1	2013
3541	Kingsway	North			1	Prior 2010
405	Kootenay St	West			2	2011
2001	Macdonald St	South			1	2012
2001	Macdonald st	West			1	2013
4107	Macdonald St	West		n/a	1	2016
4889	Mackenzie St	West			1	Prior 2010
101	Main St	West			3	2015
121	Main St	West			1	Prior 2010
222	Main St	East			1	2012
245	Main St	West			2	2015
506	Main St	East			1	2012
700	Main St	East			2	2012
708	Main St	East			1	2012
2148	Main St	East			1	2013
2148	Main St	East			1	2014
2148	Main St	East			2	2015
2543	Main St	West			1	Prior 2010
2549	Main St	West			1	2015
2600	Main St	East			1	Prior 2010
2616	Main St	East			1	2015
2828	Main St	East			1	Prior 2010
2830	Main St	East			1	2015
2902	Main St	East			1	2015
2970	Main St	East			1	Prior 2010
3418	Main St	East			2	2015
3448	Main St	East			1	2015
3463	Main St	West			1	Prior 2010
3561	Main St	West			2	2015
3699	Main St	West			1	Prior 2010
3757	Main St	West			1	2015
3795	Main St	West			1	2015
4124	Main St	East			1	2015
4129	Main St	West			1	2015
4198	Main St	East			1	2015
4216	Main St	East			1	2015
4219	Main St	West			1	2015
4301	Main St	West			1	2015
4355	Main St	West			1	2015
4423	Main St	West			2	2015
4456	Main St	East			1	2015
4475	Main St	West			2	2015
4554	Main St	East			1	2015
4570	Main St	East			1	Prior 2010
4673	Main St	West			1	2015
4750	Main St	East			1	2012
5685	Main St	West			1	Prior 2010
1195	Mainland St	North			1	Prior 2010
1605	Manitoba St	West			5	2012
1205	Melville St	North			2	2015
127	N Templeton Drive	West			1	2012
1836	Ontario St	East			2	2014
1108	Pacific Boulevard	South			1	2015
1196	Pacific Boulevard	South		YT	1	2016
1267	Pacific Boulevard	North		YT	1	2016
1268	Pacific Boulevard	South			1	2015
1300	Pacific Boulevard	South			3	2015
43	Powell St	North		GT	1	2012
415	Powell St	North		STRC	1	2012
453	Powell St	North		STRC	1	2012
477	Powell St	North			4	2015
550	Powell St	South		STRC	1	2012
566	Powell St	South		STRC	1	2012
569	Powell St	North		STRC	1	2012
807	Powell St	North			2	2015
1315	Powell St	North			2	2015
1728	Powell St	North			1	2014
1729	Powell St	North			1	2014
2323	Quebec St	West			2	2012
395	Railway St	North		STRC	1	2012
422	Railway St	South			1	2015
460	Railway St	South		STRC	1	2012
509	Richards St	West			1	2015
910	Richards St	South		DVBIA	3	2016
1200	Richards St	East			1	2012
298	Robson St	South		YT	2	2016
340	Robson St	South		YT	1	2016
430	Robson St	South		YT	1	2016
550	Robson St	South			2	Prior 2010
1025	Robson St	North			2	2012
1100	Robson St	South			4	2015
1300	Robson St	South			1	Prior 2010
1323	Robson St	North			1	Prior 2010
1716	Robson St	South			1	Prior 2010
1817	Robson St	North			2	Prior 2010
900	Seymour St	South		DVBIA	1	2016
1067	Seymour St	West			1	Prior 2010
1100	Seymour St	West			4	2012
1155	Seymour St	West		DVBIA	1	2016
1199	Seymour St	West		DVBIA	1	2016
524	Shanghai Alley	East			1	2015
405	Skeena St	West			4	2011
79	Smithe St	North			2	2014
79	Smithe St	North			2	2011
589	Smithe St	North		DVBIA	4	2016
601	Smithe St	North			1	Prior 2010
1000	Smithe St	North			1	2012
2025	Stephens St	West			2	Prior 2010
1946	Triumph St	South			1	2012
2400	Trutch St	East		WB	1	2011
221	Union St	North		CHTN	1	2012
231	Union St	North		CHTN	1	2012
251	Union St	North			1	Prior 2010
255	Union St	North		CHTN	1	2013
1420	Venables St	South			1	2015
1457	Venables St	North			1	2015
1461	Venables St	North			1	2015
1530	Venables St	South			1	2015
1302	Victoria Drive	East			1	Prior 2010
4932	Victoria Drive	East		VDR	1	2012
4969	Victoria Drive	West		VDR	1	2012
5057	Victoria Drive	West		VDR	1	2012
5579	Victoria Drive	West		VDR	1	2012
5590	Victoria Drive	East			1	Prior 2010
5661	Victoria Drive	West		VDR	1	2012
6225	Victoria Drive	West		VDR	1	2012
6471	Victoria Drive	West		VDR	2	2012
6495	Victoria Drive	West		VDR	1	2012
6579	Victoria Drive	West			1	Prior 2010
6586	Victoria Drive	East		VDR	1	2012
6647	Victoria Drive	West		VDR	1	2012
6689	Victoria Drive	West		VDR	1	2012
6942	Victoria Drive	East		VDR	1	2012
3712	W 10th Av	South			1	2015
3751	W 10th Av	North			1	Prior 2010
3751	W 10th Av	North			1	2015
3760	W 10th Av	South			1	Prior 2010
3785	W 10th Av	North			1	2015
4364	W 10th Av	South			1	2015
4444	W 10th Av	South			1	Prior 2010
4456	W 10th Av	South			1	Prior 2010
4479	W 10th Av	North			1	Prior 2010
4501	W 10th Av	North			1	Prior 2010
4530	W 10th Av	South		PGV	1	2011
4538	W 10th Av	South			1	Prior 2010
4545	W 10th Av	North			1	Prior 2010
4545	W 10th Av	North		PGV	1	2011
1510	W 11th Av	South			1	Prior 2010
1520	W 11th Av	South		SGV	1	2013
2108	W 12th Av	South			1	2012
1510	W 14th Av	South			1	Prior 2010
1520	W 15th Av	South		SGV	1	2013
736	W 16th Av	South			1	2015
2611	W 16th Av	North			1	2012
1800	W 1st Av	South			2	Prior 2010
1855	W 1st Av	North			2	Prior 2010
29	W 2nd Av	North			1	2012
336	W 2nd Av	South			1	2012
1534	W 2nd Av	South			1	Prior 2010
1720	W 2nd Av	South			1	2012
2102	W 39th Av	South			1	Prior 2010
1751	W 3rd Av	North			1	2015
1780	W 3rd Av	South			1	Prior 2010
2130	W 40th Av	South			1	2012
510	W 41st Av	South	Oakridge-41st		4	2012
2021	W 41st Av	North			1	2012
2057	W 41st Av	North			1	2012
2120	W 41st Av	South			1	Prior 2010
2198	W 41st Av	South			1	2012
2225	W 41st Av	North			2	2012
2246	W 41st Av	South			1	2012
2253	W 41st Av	North			1	2012
2260	W 41st Av	South			1	2012
2303	W 41st Av	North			1	Prior 2010
2326	W 41st Av	South			1	Prior 2010
2496	W 41st Av	South			1	2012
3516	W 41st Av	South		DBR	1	2016
3562	W 41st Av	South		DBR	1	2016
38	W 4th Av	South			1	2012
149	W 4th Av	North			1	Prior 2010
163	W 4th Av	West			1	2012
165	W 4th Av	West			1	2012
1590	W 4th Av	South			2	2012
1599	W 4th Av	North			2	2012
1615	W 4th Av	North			1	Prior 2010
1707	W 4th Av	North		KT	1	2017
1723	W 4th Av	North			1	2012
1755	W 4th Av	North			1	Prior 2010
1755	W 4th Av	North			1	2012
1775	W 4th Av	North			1	Prior 2010
1804	W 4th Av	South			1	2011
1823	W 4th Av	North			1	Prior 2010
1828	W 4th Av	South			1	2011
1843	W 4th Av	North			1	Prior 2010
1843	W 4th Av	North			1	2011
1905	W 4th Av	North			1	2011
1906	W 4th Av	South			2	2011
1947	W 4th Av	North			1	Prior 2010
1985	W 4th Av	North			1	Prior 2010
1992	W 4th Av	South			1	2011
2028	W 4th Av	South			1	2011
2152	W 4th Av	South			1	2010
2175	W 4th Av	North			1	Prior 2010
2199	W 4th Av	North			1	2010
2200	W 4th Av	South			8	Prior 2010
2228	W 4th Av	South			1	2010
2274	W 4th Av	South			1	2010
2302	W 4th Av	South			3	2011
2302	W 4th Av	South			3	2010
2645	W 4th Av	North			1	Prior 2010
2662	W 4th Av	South			1	Prior 2010
2698	W 4th Av	East			1	2013
2722	W 4th Av	South			1	2012
2724	W 4th Av	South			1	Prior 2010
2724	W 4th Av	South		n/a	1	2016
2828	W 4th Av	South			1	2012
2919	W 4th Av	North			1	2013
2929	W 4th Av	North			1	Prior 2010
3327	W 4th Av	North			1	2012
3337	W 4th Av	North			1	2012
3545	W 4th Av	North			1	Prior 2010
3545	W 4th Av	North			1	2012
3590	W 4th Av	South			1	2012
3608	W 4th Av	South			1	Prior 2010
3654	W 4th Av	South			1	Prior 2010
3689	W 4th Av	North			1	Prior 2010
375	W 5th	North			2	2014
188	W 5th Av	North			2	2012
188	W 5th Av	East			1	2013
1400	W 70th Av	South			2	2015
331	W 7th Av	North			1	2012
1399	W 7th Av	North			1	Prior 2010
1557	W 7th Av	North			2	2013
1581	W 7th Av	North			1	Prior 2010
386	W 8th	South			2	2014
402	W 8th	South			1	2014
457	W 8th	North			1	2014
77	W 8th Av	North			1	2012
428	W 8th Av	South			2	Prior 2010
112	W Broadway	South			1	Prior 2010
137	W Broadway	North			1	Prior 2010
375	W Broadway	North			1	Prior 2010
532	W Broadway	South			1	Prior 2010
632	W Broadway	South			1	Prior 2010
777	W Broadway	North			2	Prior 2010
901	W Broadway	North			1	Prior 2010
973	W Broadway	North			3	Prior 2010
999	W Broadway	North			1	2015
1037	W Broadway	North			1	2015
1063	W Broadway	North			1	2015
1088	W Broadway	South			1	2015
1421	W Broadway	North			1	Prior 2010
1724	W Broadway	South			1	Prior 2010
1727	W Broadway	North			2	Prior 2010
1885	W Broadway	North			2	2012
2150	W Broadway	South			1	2015
2176	W Broadway	South			1	2015
2182	W Broadway	South			1	2015
2255	W Broadway	North			1	2014
2283	W Broadway	North			1	2014
2289	W Broadway	North			1	2014
2303	W Broadway	North			2	2014
2306	W Broadway	South			1	Prior 2010
2505	W Broadway	North			1	Prior 2010
2529	W Broadway	North			1	2014
2579	W Broadway	North			1	2014
2671	W Broadway	North			1	Prior 2010
2681	W Broadway	North			1	Prior 2010
2696	W Broadway	South		WB	1	2011
2733	W Broadway	North		WB	1	2011
2786	W Broadway	South		WB	1	2011
2821	W Broadway	North		WB	1	2011
2886	W Broadway	South			1	Prior 2010
2934	W Broadway	South			1	Prior 2010
3065	W Broadway	North			1	Prior 2010
3066	W Broadway	South		WB	1	2011
3123	W Broadway	North			2	Prior 2010
3328	W Broadway	South		WB	1	2011
3431	W Broadway	North			1	Prior 2010
3454	W Broadway	South			1	Prior 2010
3485	W Broadway	North		WB	1	2011
301	W Cordova St	North		GT	1	2012
403	W Cordova St	North			1	2012
601	W Cordova St	North	Waterfront		3	2012
161	W Georgia St	East		n/a	3	2016
180	W Georgia St	South			2	2011
650	W Georgia St	South			1	2012
801	W Georgia St	North			2	2015
1025	W Georgia St	North			1	2011
1445	W Georgia St	North			3	2015
30	W Hastings St	South			1	2012
58	W Hastings St	South			4	Prior 2010
84	W Hastings St	South			3	2012
134	W Hastings St	South		HC	2	2013
163	W Hastings St	North			3	2010
207	W Hastings St	North			1	2012
207	W Hastings St	North			1	2011
227	W Hastings St	North			3	2010
300	W Hastings St	South			1	2012
314	W Hastings St	South			1	2011
324	W Hastings St	South			1	Prior 2010
400	W Hastings St	South			3	2012
400	W Hastings St	South			3	2011
555	W Hastings St	North			2	2011
675	W Hastings St	North			1	2010
808	W Hastings St	South			1	2010
848	W Hastings St	South			1	Prior 2010
850	W Hastings St	South			1	Prior 2010
1099	W Hastings St	North			2	2010
1111	W Hastings St	North			1	2010
309	W Pender St	North			1	2011
319	W Pender St	North			1	2012
319	W Pender St	North			1	2011
344	W Pender St	South		HC	1	2013
416	W Pender St	South			1	2012
433	W Pender St	North			1	2012
433	W Pender St	North			1	2011
445	W Pender St	North			1	2012
445	W Pender St	North			2	2011
789	W Pender St	North			2	Prior 2010
819	W Pender St	North			1	2012
1139	W Pender St	North		DVBIA	1	2013
55	Water St	North			1	Prior 2010
142	Water St	South		GT	1	2012
199	Water St	North		GT	1	2012
322	Water St	South		GT	1	2012
332	Water St	South		GT	1	2012
375	Water St	North			1	Prior 2010
375	Water St	North		GT	3	2012
5389	West Boulevard	West			1	2015
5663	West Boulevard	West			1	2012
5765	West Boulevard	West			1	2012
5777	West Boulevard	West			1	2012
1520	Yew St	East			1	Prior 2010
1555	Yew St	West			2	2014
1900	York Av	South			1	2014
2450	Yukon St	East			1	2014
2490	Yukon St	East			1	2012
134	Abbott St	East		GT	1	2012
455	Abbott St	West		HC	4	2014
516	Abbott St	East		HC	1	2014
568	Abbott St	East		HC	1	2014
660	Abbott St	East		HC	1	2014
683	Abbott St	West		HC	1	2014
1488	Adanac	South			1	2014
55	Alexander St	North		GT	2	2012
90	Alexander St	South		GT	1	2012
148	Alexander St	South			1	Prior 2010
320	Alexander St	South			2	Prior 2010
704	Alexander St	South			3	2015
2083	Alma St	West			3	2012
2780	Alma St	East			1	Prior 2010
2640	Arbutus St	East			1	2015
2723	Arbutus St	West			1	2015
1400	Balsam St	East			1	2012
5704	Balsam St	East			1	2012
568	Beatty St	East			1	2011
688	Beatty St	West		n/a	3	2016
858	Beatty St	East			3	2011
873	Beatty St	West			1	Prior 2010
873	Beatty St	West			2	2011
900	Beatty St	East			1	2012
989	Beatty St	West		YT	1	2016
777	Bidwell St	West			1	Prior 2010
1209	Bidwell St	West			2	2015
200	Burrard St	West			1	Prior 2010
355	Burrard St	West			2	2010
888	Burrard St	East			3	2010
955	Burrard St	West			1	2015
969	Burrard St	West			1	2015
1088	Burrard St	East			2	2015
1192	Burrard St	East			1	2015
1262	Burrard St	East			1	2015
1306	Burrard St	East			1	2015
1340	Burrard St	East			1	2015
808	Bute St	East			1	Prior 2010
1100	Bute St	East			2	2012
220	Cambie St	East			2	Prior 2010
310	Cambie St	East		CB	2	2016
440	Cambie St	East			1	Prior 2010
888	Cambie St	East			1	Prior 2010
930	Cambie St	South		YT	4	2016
2150	Cambie St	East			1	Prior 2010
2915	Cambie St	West		CB	1	2016
2963	Cambie St	West		CB	1	2016
3365	Cambie St	West			1	Prior 2010
4018	Cambie St	East		CB	1	2016
4038	Cambie St	East			1	Prior 2010
6488	Cambie St	East	Langara-49th		3	2012
1078	Cardero St	East			3	2013
298	Carrall St	East			2	Prior 2010
5487	Cecil St	West			1	Prior 2010
1716	Charles St	South			2	Prior 2010
505	Clark Dr	West			1	Prior 2010
912	Clark Dr	East			1	Prior 2010
912	Clark Dr	South			2	2011
823	Clark Drive	West			2	2015
1111	Clark Drive	West			2	2015
303	Columbia St	West			1	Prior 2010
1010	Commercial Drive	East			2	2012
1016	Commercial Drive	East			1	2012
1034	Commercial Drive	East			1	2012
1035	Commercial Drive	West			2	2012
1103	Commercial Drive	West			1	2012
1111	Commercial Drive	West			1	Prior 2010
1380	Commercial Drive	East			1	Prior 2010
1520	Commercial Drive	East			1	Prior 2010
1604	Commercial Drive	East			1	Prior 2010
1714	Commercial Drive	East			1	Prior 2010
1726	Commercial Drive	East			1	Prior 2010
1858	Commercial Drive	East			1	2012
2010	Commercial Drive	East			1	Prior 2010
2096	Commercial Drive	East			1	Prior 2010
2360	Commercial Drive	East			1	2015
2575	Commercial Drive	West			1	Prior 2010
2601	Commercial Drive	West			1	2015
2703	Commercial Drive	West			1	2015
2915	Commercial Drive	West			1	2015
100	Cordova St	East		HC	1	2014
1935	Cornwall Av	North			1	Prior 2010
1937	Cornwall Av	North			2	Prior 2010
1995	Cornwall Av	North			1	2015
2200	Cornwall Av	South			2	Prior 2010
1660	Cypress St	East			1	2015
110	Davie St	South			3	Prior 2010
297	Davie St	North	Yaletown-Roundhouse		6	2012
605	Davie St	North		DVBIA	1	2016
671	Davie St	North			1	Prior 2010
677	Davie St	North		DVBIA	2	2017
1600	Davie St	South			1	Prior 2010
1650	Davie St	South			2	Prior 2010
1702	Davie St	South			1	Prior 2010
1789	Davie St	North			1	Prior 2010
785	Denman St	West			3	Prior 2010
1105	Denman St	West			1	Prior 2010
1168	Denman St	East			1	Prior 2010
1180	Denman St	East			1	Prior 2010
1210	Denman St	East			1	Prior 2010
3211	Dunbar St	West			1	Prior 2010
3228	Dunbar St	East			2	Prior 2010
3456	Dunbar St	East			1	Prior 2010
4205	Dunbar St	West			1	Prior 2010
4236	Dunbar St	East			1	Prior 2010
4306	Dunbar St	East			1	2012
4336	Dunbar St	East			1	2012
4355	Dunbar St	West			1	2012
4432	Dunbar St	East			1	2012
4445	Dunbar St	West			1	Prior 2010
4446	Dunbar St	East			1	2012
4474	Dunbar St	East			1	2012
4497	Dunbar St	West			1	Prior 2010
304	Dunlevy Av	North		STRC	2	2012
579	Dunsmuir St	North			1	Prior 2010
635	E 15th Av	North			1	2011
617	E 15th St	North			1	2013
211	E 16th Av	North			1	Prior 2010
197	E 17th Av	North			1	Prior 2010
127	E 2nd Av	North			1	Prior 2010
107	E 3rd	North			1	2014
146	E 3rd Av	South			1	2012
173	E 3rd Av	North			3	2015
20	E 4th Av	South			1	2011
272	E 4th Av	South			1	Prior 2010
56	E 5th Av	South			1	2015
60	E 5th Av	South			1	2015
77	E 7th Av	North			1	Prior 2010
255	E 7th Av	North			2	2015
303	E 8th Av	North			1	Prior 2010
1600	E 8th Av	North			1	2012
612	E Broadway	South			2	2011
800	E Broadway	South			1	Prior 2010
1037	E Broadway	North			2	2015
1458	E Broadway	South			1	2013
63	E Cordova St	North		GT	1	2012
93	E Cordova St	North		GT	1	2012
239	E Georgia St	North		CHTN	1	Prior 2010
239	E Georgia St	North		CHTN	1	2012
501	E Georgia St	North		CHTN	1	2014
288	E Hastings St	South		CHTN	1	2014
403	E Hastings St	North		STRC	1	2012
449	E Hastings St	North			1	Prior 2010
638	E Hastings St	South			1	2015
649	E Hastings St	South		STRC	1	2014
651	E Hastings St	South		STRC	1	2014
701	E Hastings St	North		STRC	1	2014
843	E Hastings St	North		STRC	1	2012
1222	E Hastings St	South			2	2015
1489	E Hastings St	West			2	2014
2510	E Hastings St	South			1	Prior 2010
2614	E Hastings St	South			1	Prior 2010
2647	E Hastings St	North			1	2012
3501	E Hastings St	North			1	2011
3550	E Hastings St	South			1	Prior 2010
3561	E Hastings St	North			1	2011
3622	E Hastings St	South			1	2011
3683	E Hastings St	North			2	2011
142	E Pender St	South			1	2012
1220	E Pender St	South			2	2015
5720	East Boulevard	East			1	2012
1809	Fir St	West			1	2012
1810	Fir St	East			5	Prior 2010
1223	Frances St	North			1	2015
1104	Franklin St	South			1	2015
1112	Franklin St	South			1	2015
3207	Fraser St	South			1	2011
3245	Fraser St	West			3	2013
3455	Fraser St	West			1	2013
4153	Fraser St	West			1	2012
4238	Fraser St	East		n/a	1	2016
4259	Fraser St	West			1	2012
4386	Fraser St	East			1	2012
4590	Fraser St	East			2	2012
5838	Fraser St	East		SHL	2	2011
5989	Fraser St	West			1	2015
6007	Fraser St	West			1	2012
6108	Fraser St	East		SHL	1	2011
6294	Fraser St	East			1	Prior 2010
6330	Fraser St	East		SHL	1	2011
6504	Fraser St	East		SHL	1	2011
189	Gore Av	West			1	2012
2825	Grandview Hwy	North			2	2013
540	Granville St	East			1	Prior 2010
543	Granville St	West			1	Prior 2010
798	Granville St	East			1	Prior 2010
929	Granville St	West			1	Prior 2010
1025	Granville St	West			1	Prior 2010
1149	Granville St	West		DVBIA	2	2013
1208	Granville St	East			4	2012
1265	Granville St	West			1	Prior 2010
2247	Granville St	West			1	Prior 2010
2335	Granville St	West		SGV	1	2013
2590	Granville St	East			1	Prior 2010
2600	Granville St	East		SGV	1	2013
2601	Granville St	West			1	Prior 2010
2609	Granville St	West		SGV	1	2013
2658	Granville St	East		SGV	1	2013
2750	Granville St	East		SGV	1	2013
3010	Granville St	East		SGV	1	2013
3014	Granville St	East			1	Prior 2010
3061	Granville St	West			1	2015
7985	Granville St	West		MRP	1	2012
8289	Granville St	West			1	Prior 2010
8333	Granville St	West		MRP	1	2012
8490	Granville St	East		MRP	1	2012
8662	Granville St	East		MRP	1	2012
800	Griffiths Way	East			1	Prior 2010
555	Hamilton St	North			1	Prior 2010
877	Hamilton St	East			3	2015
878	Hamilton St	East			1	2015
1020	Hamilton St	South		YT	4	2016
1090	Hamilton St	South			1	Prior 2010
1009	Harwood St	North			2	2015
500	Helmcken St	South			2	2012
540	Helmcken St	South			1	Prior 2010
575	Helmcken St	North		DVBIA	1	2016
600	Helmcken St	South			2	2012
318	Homer St	East			1	2011
855	Homer St	North		DVBIA	2	2016
1006	Homer St	East			1	2011
1062	Homer St	East			1	2011
1090	Homer St	East			2	Prior 2010
1095	Homer St	West			1	Prior 2010
1096	Homer St	East			1	2011
1144	Homer St	East			1	Prior 2010
1180	Homer St	East			1	Prior 2010
1290	Homer St	East			1	Prior 2010
1359	Hornby	West		DVBIA	2	2014
400	Hornby St			DVBIA	6	2016
811	Hornby St	West			1	Prior 2010
815	Hornby St	West			1	2013
951	Hornby St	West			1	2012
1082	Hornby St	East			1	2012
325	Howe St	West			1	Prior 2010
466	Howe St	East			1	2012
466	Howe St	East			1	2011
555	Howe St	West			1	Prior 2010
595	Howe St	West			1	Prior 2010
600	Howe St	East			4	2015
1811	Howe St	West			1	Prior 2010
5082	Joyce St	East			1	2014
5099	Joyce St	North	Joyce-Collingwood		3	2012
145	Keefer St	North			1	2012
188	Kingsway	West			1	2013
355	Kingsway	North		MP	4	2016
488	Kingsway	South			1	2013
560	Kingsway	South			1	2013
650	Kingsway	South			1	Prior 2010
856	Kingsway	South			1	2015
1072	Kingsway	South			1	2015
1097	Kingsway	North			2	2015
1196	Kingsway	South			1	2015
1238	Kingsway	South			1	2015
1240	Kingsway	South			1	2015
1243	Kingsway	North			1	2015
1284	Kingsway	South			1	2014
1303	Kingsway	North			2	2015
1356	Kingsway	South			1	2014
1391	Kingsway	North			1	2014
1427	Kingsway	North			1	2013
1432	Kingsway	South			1	Prior 2010
1760	Kingsway	South			1	2013
3546	Kingsway	South		CWD	1	2013
3617	Kingsway	North		CWD	1	2013
4017	Macdonald St	West		n/a	1	2016
4027	Macdonald St	West		n/a	1	2016
4055	Macdonald St	West		n/a	1	2016
4109	Macdonald St	West			1	Prior 2010
4894	Mackenzie St	East			1	Prior 2010
180	Main St	East			2	2015
247	Main St	West			1	2015
416	Main St	East			2	2012
917	Main St	West			2	2012
917	Main St	West			2	2013
928	Main St	East			2	2012
1965	Main St	West			2	Prior 2010
2015	Main St	West			2	2015
2152	Main St	East			3	2015
2218	Main St	East			1	Prior 2010
2403	Main St	West			1	2015
2429	Main St	West			1	2015
2541	Main St	West			1	2015
2655	Main St	West			1	Prior 2010
2818	Main St	East			1	2012
2980	Main St	East			1	Prior 2010
3010	Main St	East			1	Prior 2010
3045	Main St	West			2	Prior 2010
3080	Main St	East			1	2015
3463	Main St	West			1	2015
3585	Main St	West			1	2015
3603	Main St	West			2	2015
3878	Main St	East			1	2015
3941	Main St	West			2	2015
3950	Main St	East			1	2015
4172	Main St	West			1	Prior 2010
4401	Main St	West			1	2015
4433	Main St	West			1	2015
4464	Main St	East			1	2015
4510	Main St	East			1	2015
4531	Main St	West			1	2011
4575	Main St	West			2	2015
4645	Main St	West			1	2015
4825	Main St	West			2	2015
4871	Main St	West			1	2015
4873	Main St	West			1	2015
910	Mainland St	South			1	2013
1020	Mainland St	South		YT	3	2016
1945	Manitoba St	West			1	2012
1200	Marinaside Crescent	South			1	2012
1228	Marinaside Crescent	South			4	Prior 2010
1386	Nanaimo St	East			1	2014
1390	Nanaimo St	East			1	2014
3244	Oak St	East			1	Prior 2010
1863	Ontario St	West			2	2014
1156	Pacific Boulevard	South			1	2015
1156	Pacific Boulevard	South		YT	1	2016
1165	Pacific Boulevard	North			1	2015
1195	Pacific Boulevard	North			2	2015
1205	Pacific Boulevard	North			1	2015
1205	Pacific Boulevard	North		YT	1	2016
1251	Pacific Boulevard	North			1	2015
1251	Pacific Boulevard	North		YT	1	2016
1268	Pacific Boulevard	South		YT	1	2016
1279	Pacific Boulevard	North			1	Prior 2010
1282	Pacific Boulevard	South		YT	1	2016
1300	Pacific Boulevard	South			1	2012
3700	Point Grey Rd	North			2	2014
40	Powell St	South		GT	1	2012
362	Powell St	South		STRC	2	2012
429	Powell St	North		STRC	1	2012
451	Powell St	North		STRC	1	2012
528	Powell St	South			1	Prior 2010
569	Powell St	North			1	Prior 2010
580	Powell St	South			1	Prior 2010
606	Powell St	South			1	Prior 2010
606	Powell St	South			2	2015
626	Powell St	South			1	2015
636	Powell St	South			1	2015
707	Powell St	North			2	2015
1357	Powell St	North			3	2015
1435	Powell St	North			2	2015
1445	Powell St	North			1	2015
1449	Powell St	North			2	2015
2755	Prince Edward St	West			3	Prior 2010
343	Railway	North			2	2014
430	Railway St	South			2	2015
460	Railway St	South			1	2015
505	Railway St	North			1	2015
500	Richards St	East			2	2012
555	Richards St	West			1	2011
410	Robson St	South		YT	1	2016
433	Robson St	North			2	Prior 2010
480	Robson St	South			1	Prior 2010
516	Robson St	South			1	Prior 2010
608	Robson St	South			2	Prior 2010
1150	Robson St	South			1	Prior 2010
1182	Robson St	South			1	Prior 2010
1766	Robson St	South			1	Prior 2010
1779	Robson St	North			1	Prior 2010
1800	Robson St	South			1	2012
555	Seymour St	West			3	Prior 2010
1082	Seymour St	West		DVBIA	2	2016
1092	Seymour St	West		DVBIA	3	2016
1181	Seymour St	West		DVBIA	2	2016
99	Smithe St	North			1	2014
99	Smithe St	North			1	2011
600	Stamps Landing	South		n/a	1	2016
535	Thurlow St	West			1	2015
842	Thurlow St	East			1	Prior 2010
2480	Trafalgar St	East			2	Prior 2010
251	Union St	North		CHTN	1	2013
598	Union St	South			1	Prior 2010
1503	Venables St	North			1	2015
1697	Venables St	North			1	Prior 2010
4990	Victoria Drive	East		VDR	1	2012
5037	Victoria Drive	West			1	Prior 2010
5038	Victoria Drive	East		VDR	1	2013
5076	Victoria Drive	East		VDR	1	2012
5124	Victoria Drive	East		VDR	1	2012
5239	Victoria Drive	West		VDR	1	2012
5470	Victoria Drive	East		VDR	1	2012
5807	Victoria Drive	West		VDR	1	2012
6370	Victoria Drive	East			1	Prior 2010
6470	Victoria Drive	East		VDR	1	2012
6904	Victoria Drive	East		VDR	1	2012
3730	W 10th Av	South			1	2015
3742	W 10th Av	South			1	2015
3754	W 10th Av	South			1	Prior 2010
3788	W 10th Av	South			1	Prior 2010
4326	W 10th Av	South			1	Prior 2010
4343	W 10th Av	North		PGV	1	2011
4358	W 10th Av	South			1	2015
4370	W 10th Av	South			1	2015
4375	W 10th Av	North			1	Prior 2010
4387	W 10th Av	North		PGV	1	2011
4397	W 10th Av	North			1	Prior 2010
4401	W 10th Av	North		PGV	1	2011
4426	W 10th Av	South			1	Prior 2010
4434	W 10th Av	South			1	Prior 2010
